Season,Player,Age,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1990-91,Michael Jordan,27,82,37.0,31.5,6.0,5.5,2.7,1.0,0.539,0.312,0.851,20.3,0.321
1989-90,Magic Johnson,30,79,37.2,22.3,6.6,11.5,1.7,0.4,0.48,0.384,0.89,16.5,0.27
1988-89,Magic Johnson,29,77,37.5,22.5,7.9,12.8,1.8,0.3,0.509,0.314,0.9109999999999999,16.1,0.267
1987-88,Michael Jordan,24,82,40.4,35.0,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,0.308
1986-87,Magic Johnson,27,80,36.3,23.9,6.3,12.2,1.7,0.5,0.522,0.205,0.848,15.9,0.263
1985-86,Larry Bird,29,82,38.0,25.8,9.8,6.8,2.0,0.6,0.496,0.423,0.8959999999999999,15.8,0.244
1984-85,Larry Bird,28,80,39.5,28.7,10.5,6.6,1.6,1.2,0.522,0.42700000000000005,0.882,15.7,0.23800000000000002
1983-84,Larry Bird,27,79,38.3,24.2,10.1,6.6,1.8,0.9,0.49200000000000005,0.247,0.888,13.6,0.215
1982-83,Moses Malone,27,78,37.5,24.5,15.3,1.3,1.1,2.0,0.501,0.0,0.7609999999999999,15.1,0.248
1981-82,Moses Malone,26,81,42.0,31.1,14.7,1.8,0.9,1.5,0.519,0.0,0.762,15.4,0.218
1980-81,Julius Erving,30,82,35.0,24.6,8.0,4.4,2.1,1.8,0.521,0.222,0.787,13.8,0.231
1979-80,Kareem Abdul-Jabbar,32,82,38.3,24.8,10.8,4.5,1.0,3.4,0.604,0.0,0.765,14.8,0.22699999999999998
1978-79,Moses Malone,23,82,41.3,24.8,17.6,1.8,1.0,1.5,0.54,,0.7390000000000001,14.1,0.2
1977-78,Bill Walton,25,58,33.3,18.9,13.2,5.0,1.0,2.5,0.522,,0.72,8.4,0.209
1976-77,Kareem Abdul-Jabbar,29,82,36.8,26.2,13.3,3.9,1.2,3.2,0.579,,0.701,17.8,0.28300000000000003
1975-76,Kareem Abdul-Jabbar,28,82,41.2,27.7,16.9,5.0,1.5,4.1,0.529,,0.703,17.0,0.242
1974-75,Bob McAdoo,23,82,43.2,34.5,14.1,2.2,1.1,2.1,0.512,,0.805,17.8,0.242
1973-74,Kareem Abdul-Jabbar,26,81,43.8,27.0,14.5,4.8,1.4,3.5,0.539,,0.7020000000000001,18.4,0.25
1972-73,Dave Cowens,24,82,41.8,20.5,16.2,4.1,,,0.452,,0.779,12.0,0.168
